"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that after changing the backup password the pbm tool is updated and functional.","41465","test_update_backup_password","tests.integration.backup_tests","Fri Jan 31 02:27:18 UTC 2025","passed","Fri Jan 31 02:27:59 UTC 2025","","test_backups","",""
"","126441","test_network_cut","tests.integration.ha_tests","Fri Jan 31 02:00:02 UTC 2025","passed","Fri Jan 31 02:02:09 UTC 2025","","test_ha","",""
"Tests that removing a shard application safely drains data.

    It is preferred that users remove-relations instead of removing shard applications. But we do
    support removing shard applications in a safe way.
    ","390673","test_unconventual_shard_removal","tests.integration.sharding_tests","Fri Jan 31 02:08:56 UTC 2025","passed","Fri Jan 31 02:15:27 UTC 2025","","test_sharding","",""
"Build and deploy a sharded cluster.","821429","test_build_and_deploy","tests.integration.sharding_tests","Fri Jan 31 01:33:54 UTC 2025","passed","Fri Jan 31 01:47:36 UTC 2025","","test_sharding","",""
"","0","test_tls_inconsistent_rels","tests.integration.sharding_tests","Fri Jan 31 02:00:31 UTC 2025","skipped","Fri Jan 31 02:00:31 UTC 2025","","test_sharding_tls","",""
"Tests the immediate integration of cluster components works without error.","350734","test_immediate_relate","tests.integration.sharding_tests","Fri Jan 31 01:34:36 UTC 2025","passed","Fri Jan 31 01:40:27 UTC 2025","","test_sharding_race_conds","",""
"Test that log are being rotated.","666042","test_log_rotate","tests.integration","Fri Jan 31 01:40:33 UTC 2025","passed","Fri Jan 31 01:51:39 UTC 2025","","test_charm","",""
"Tests that the cluster can be integrated with TLS.","418899","test_built_cluster_with_tls","tests.integration.sharding_tests","Fri Jan 31 01:38:40 UTC 2025","passed","Fri Jan 31 01:45:39 UTC 2025","","test_sharding_tls","",""
"Verifies that the charm goes into blocked status when s3 config options are incorrect.","20834","test_blocked_incorrect_conf","tests.integration.backup_tests","Fri Jan 31 01:37:05 UTC 2025","passed","Fri Jan 31 01:37:26 UTC 2025","","test_backups","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","4509","test_reset_and_get_password_secret_same_as_cli","tests.integration","Fri Jan 31 01:40:20 UTC 2025","passed","Fri Jan 31 01:40:25 UTC 2025","","test_charm","",""
"Tests that sharded cluster can successfully create and list backups.","7162","test_create_and_list_backups_in_cluster","tests.integration.sharding_tests","Fri Jan 31 01:40:56 UTC 2025","passed","Fri Jan 31 01:41:03 UTC 2025","","test_sharding_backups","",""
"Tests that there is exactly one replica set primary unit reported by juju.","64529","test_exactly_one_primary_reported_by_juju","tests.integration","Fri Jan 31 01:51:39 UTC 2025","passed","Fri Jan 31 01:52:44 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","514858","test_build_and_deploy","tests.integration.sharding_tests","Fri Jan 31 01:34:52 UTC 2025","passed","Fri Jan 31 01:43:27 UTC 2025","","test_mongos","",""
"Tests that the cluster can disable TLS.","54595","test_disable_cluster_with_tls","tests.integration.sharding_tests","Fri Jan 31 01:53:15 UTC 2025","passed","Fri Jan 31 01:54:09 UTC 2025","","test_sharding_tls","",""
"Build and deploy a sharded cluster.","432312","test_build_and_deploy","tests.integration.sharding_tests","Fri Jan 31 01:31:27 UTC 2025","passed","Fri Jan 31 01:38:40 UTC 2025","","test_sharding_tls","",""
