"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests the integration of cluster components works without error.","369161","test_cluster_active","tests.integration.sharding_tests","Mon Feb 03 01:40:25 UTC 2025","passed","Mon Feb 03 01:46:34 UTC 2025","","test_sharding","",""
"Sanity check that endpoints are running.","4201","test_endpoints","tests.integration.metrics_tests","Mon Feb 03 01:39:21 UTC 2025","passed","Mon Feb 03 01:39:26 UTC 2025","","test_metrics","",""
"Verifies that the preflight check can run successfully.","124344","test_preflight_check","tests.integration.upgrade","Mon Feb 03 01:46:54 UTC 2025","passed","Mon Feb 03 01:48:59 UTC 2025","","test_upgrade","",""
"Test that log are being rotated.","665753","test_log_rotate","tests.integration","Mon Feb 03 01:37:09 UTC 2025","passed","Mon Feb 03 01:48:14 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","419303","test_build_and_deploy","tests.integration.sharding_tests","Mon Feb 03 01:42:21 UTC 2025","passed","Mon Feb 03 01:49:21 UTC 2025","","test_mongos","",""
"Test that two different application connect to the database with different credentials.","76100","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Mon Feb 03 01:41:21 UTC 2025","passed","Mon Feb 03 01:42:37 UTC 2025","","test_charm_relations","",""
"Tests that the cluster can disable TLS.","64674","test_disable_cluster_with_tls","tests.integration.sharding_tests","Mon Feb 03 01:54:40 UTC 2025","passed","Mon Feb 03 01:55:45 UTC 2025","","test_sharding_tls","",""
"Test verifies that only the leader can set a password, while all units can read it.","8298","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Mon Feb 03 01:36:47 UTC 2025","passed","Mon Feb 03 01:36:56 UTC 2025","","test_charm","",""
"Tests that there is exactly one replica set primary unit reported by juju.","64491","test_exactly_one_primary_reported_by_juju","tests.integration","Mon Feb 03 01:48:14 UTC 2025","passed","Mon Feb 03 01:49:19 UTC 2025","","test_charm","",""
"Scale up and down the application and verify the replica set is healthy.","2103888","test_scale_up_down","tests.integration.ha_tests","Mon Feb 03 02:34:49 UTC 2025","broken","Mon Feb 03 03:09:53 UTC 2025","","test_ha","",""
"Tests writing data to mongos gets propagated to shards.","33859","test_sharding","tests.integration.sharding_tests","Mon Feb 03 01:47:03 UTC 2025","passed","Mon Feb 03 01:47:37 UTC 2025","","test_sharding","",""
"Verifies that the application and unit are active.","15541","test_status","tests.integration","Mon Feb 03 01:36:04 UTC 2025","passed","Mon Feb 03 01:36:20 UTC 2025","","test_charm","",""
"Verifies connecting a replica to a mongos router fails.","23809","test_replication_mongos_relation","tests.integration.sharding_tests","Mon Feb 03 01:44:11 UTC 2025","passed","Mon Feb 03 01:44:35 UTC 2025","","test_sharding_relations","",""
"","231255","test_full_cluster_restart","tests.integration.ha_tests","Mon Feb 03 02:27:01 UTC 2025","passed","Mon Feb 03 02:30:52 UTC 2025","","test_ha","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","589070","test_build_and_deploy","tests.integration.tls_tests","Mon Feb 03 01:32:31 UTC 2025","passed","Mon Feb 03 01:42:20 UTC 2025","","test_tls","",""
"Build deploy, and integrate, a sharded cluster.","862665","test_build_and_deploy","tests.integration.upgrade","Mon Feb 03 01:32:13 UTC 2025","passed","Mon Feb 03 01:46:36 UTC 2025","","test_sharding_rollback","",""
"Build and deploy one unit of MongoDB.","423548","test_build_and_deploy","tests.integration.metrics_tests","Mon Feb 03 01:32:18 UTC 2025","passed","Mon Feb 03 01:39:21 UTC 2025","","test_metrics","",""
"","41128","test_freeze_db_process","tests.integration.ha_tests","Mon Feb 03 02:20:53 UTC 2025","passed","Mon Feb 03 02:21:34 UTC 2025","","test_ha","",""
"Deploy both charms (application and database) to use in the tests.","126699","test_deploy_charms","tests.integration.relation_tests.new_relations","Mon Feb 03 01:32:06 UTC 2025","passed","Mon Feb 03 01:34:13 UTC 2025","","test_charm_relations","",""
"Test that audit log was created and contains actual audit data.","841","test_audit_log","tests.integration","Mon Feb 03 01:37:08 UTC 2025","passed","Mon Feb 03 01:37:09 UTC 2025","","test_charm","",""
"Simple backup tests that verifies that writes are correctly restored.","384548","test_restore","tests.integration.backup_tests","Mon Feb 03 01:56:15 UTC 2025","passed","Mon Feb 03 02:02:40 UTC 2025","","test_backups","",""
"","11205","test_create_and_list_backups","tests.integration.backup_tests","Mon Feb 03 01:41:42 UTC 2025","passed","Mon Feb 03 01:41:54 UTC 2025","","test_backups","",""
"Test superuser actions (ie creating a new user and creating a new database).","496","test_user_with_extra_roles","tests.integration.relation_tests.new_relations","Mon Feb 03 01:41:21 UTC 2025","passed","Mon Feb 03 01:41:21 UTC 2025","","test_charm_relations","",""
"Verify each unit has TLS enabled after relating to the TLS application.","141994","test_enable_tls","tests.integration.tls_tests","Mon Feb 03 01:42:20 UTC 2025","passed","Mon Feb 03 01:44:42 UTC 2025","","test_tls","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","81105","test_pre_upgrade_check_failure","tests.integration.upgrade","Mon Feb 03 02:04:06 UTC 2025","passed","Mon Feb 03 02:05:28 UTC 2025","","test_sharding_upgrade","",""
"Build and deploy one unit of MongoDB.","427047","test_build_and_deploy","tests.integration.backup_tests","Mon Feb 03 01:32:18 UTC 2025","passed","Mon Feb 03 01:39:25 UTC 2025","","test_backups","",""
"Verify that endpoints still function correctly after the monitor user password changes.","23050","test_endpoints_new_password","tests.integration.metrics_tests","Mon Feb 03 01:39:26 UTC 2025","passed","Mon Feb 03 01:39:49 UTC 2025","","test_metrics","",""
"Verifies that using a replica as a shard fails even when TLS is integrated.","50278","test_config_server_tls_replication_relation","tests.integration.sharding_tests","Mon Feb 03 01:44:45 UTC 2025","passed","Mon Feb 03 01:45:35 UTC 2025","","test_sharding_relations","",""
"Verify removed applications no longer have access to the database.","22910","test_removed_relation_no_longer_has_access","tests.integration.relation_tests.new_relations","Mon Feb 03 01:44:07 UTC 2025","passed","Mon Feb 03 01:44:30 UTC 2025","","test_charm_relations","",""
"Test that in general, there is no change when password validation fails.","3348","test_no_password_change_on_invalid_password","tests.integration","Mon Feb 03 01:37:04 UTC 2025","passed","Mon Feb 03 01:37:08 UTC 2025","","test_charm","",""
"Build deploy, and integrate, a sharded cluster.","990477","test_build_and_deploy","tests.integration.upgrade","Mon Feb 03 01:32:17 UTC 2025","passed","Mon Feb 03 01:48:48 UTC 2025","","test_sharding_upgrade","",""
"Verify that a shard can only be related to one config server.","24315","test_only_one_config_server_relation","tests.integration.sharding_tests","Mon Feb 03 01:42:47 UTC 2025","passed","Mon Feb 03 01:43:11 UTC 2025","","test_sharding_relations","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","4509","test_reset_and_get_password_secret_same_as_cli","tests.integration","Mon Feb 03 01:36:56 UTC 2025","passed","Mon Feb 03 01:37:00 UTC 2025","","test_charm","",""
"Tests that the cluster can safely set the operator password.","29387","test_set_operator_password","tests.integration.sharding_tests","Mon Feb 03 01:46:34 UTC 2025","passed","Mon Feb 03 01:47:03 UTC 2025","","test_sharding","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","909998","test_upgrade","tests.integration.upgrade","Mon Feb 03 01:48:52 UTC 2025","passed","Mon Feb 03 02:04:02 UTC 2025","","test_sharding_upgrade","",""
"Tests clusters behavior when scaling down a minority and removing a primary replica.

    - NOTE: on a provided cluster this calculates the largest set of minority members and removes
    them, the primary is guaranteed to be one of those minority members.

    This test verifies that the behavior of:
    1.  when a leader is deleted that the new leader, on calling leader_elected will reconfigure
    the replicaset.
    2. primary stepping down leads to a replica set with a new primary.
    3. removing a minority of units (2 out of 5) is feasiable.
    4. race conditions due to removing multiple units is handled.
    5. deleting a non-leader unit is properly handled.
    ","48399","test_scale_down_capablities","tests.integration.ha_tests","Mon Feb 03 01:58:19 UTC 2025","passed","Mon Feb 03 01:59:08 UTC 2025","","test_ha","",""
"Verifies that when the cluster is formed a new user is created.","600427","test_connect_to_cluster_creates_user","tests.integration.sharding_tests","Mon Feb 03 01:49:21 UTC 2025","broken","Mon Feb 03 01:59:21 UTC 2025","","test_mongos","",""
