"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that sharded cluster can successfully create and list backups.","14326","test_create_and_list_backups_in_cluster","tests.integration.sharding_tests","Thu Feb 20 01:48:20 UTC 2025","passed","Thu Feb 20 01:48:35 UTC 2025","","test_sharding_backups","",""
"Build deploy, and integrate, a sharded cluster.","883610","test_build_and_deploy","tests.integration.upgrade","Thu Feb 20 01:40:12 UTC 2025","passed","Thu Feb 20 01:54:56 UTC 2025","","test_sharding_upgrade","",""
"Tests that right after deployment that the primary unit is the leader.","2073","test_leader_is_primary_on_deployment","tests.integration","Thu Feb 20 01:42:09 UTC 2025","passed","Thu Feb 20 01:42:11 UTC 2025","","test_charm","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","1733628","test_upgrade","tests.integration.upgrade","Thu Feb 20 01:55:04 UTC 2025","broken","Thu Feb 20 02:23:58 UTC 2025","","test_sharding_upgrade","",""
"","994547","test_restore_new_cluster[AWS]","tests.integration.backup_tests","Thu Feb 20 02:07:52 UTC 2025","passed","Thu Feb 20 02:24:27 UTC 2025","","test_backups","",""
"Verifies that the application and unit are active.","15506","test_status","tests.integration","Thu Feb 20 01:41:53 UTC 2025","passed","Thu Feb 20 01:42:09 UTC 2025","","test_charm","",""
"Test superuser actions (ie creating a new user and creating a new database).","627","test_user_with_extra_roles","tests.integration.relation_tests.new_relations","Thu Feb 20 01:55:22 UTC 2025","passed","Thu Feb 20 01:55:23 UTC 2025","","test_charm_relations","",""
"Test basic functionality of database relation interface.","187582","test_database_relation_with_charm_libraries","tests.integration.relation_tests.new_relations","Thu Feb 20 01:42:29 UTC 2025","passed","Thu Feb 20 01:45:37 UTC 2025","","test_charm_relations","",""
"Test that log are being rotated.","670765","test_log_rotate","tests.integration","Thu Feb 20 01:43:14 UTC 2025","passed","Thu Feb 20 01:54:25 UTC 2025","","test_charm","",""
"Tests that mongodb is running as a replica set for the application unit.","19","test_unit_is_running_as_replica_set[2]","tests.integration","Thu Feb 20 01:42:09 UTC 2025","passed","Thu Feb 20 01:42:09 UTC 2025","","test_charm","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to randomly generated keys.
    ","261611","test_rotate_tls_key","tests.integration.tls_tests","Thu Feb 20 01:48:21 UTC 2025","passed","Thu Feb 20 01:52:42 UTC 2025","","test_tls","",""
"Build and deploy one unit of MongoDB.","209048","test_build_and_deploy","tests.integration","Thu Feb 20 01:38:22 UTC 2025","passed","Thu Feb 20 01:41:51 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","238427","test_build_and_deploy","tests.integration.sharding_tests","Thu Feb 20 01:38:47 UTC 2025","passed","Thu Feb 20 01:42:45 UTC 2025","","test_mongos","",""
"Sanity check that endpoints are running.","3685","test_endpoints","tests.integration.metrics_tests","Thu Feb 20 01:42:35 UTC 2025","passed","Thu Feb 20 01:42:39 UTC 2025","","test_metrics","",""
"","242167","test_full_cluster_restart","tests.integration.ha_tests","Thu Feb 20 02:08:04 UTC 2025","passed","Thu Feb 20 02:12:06 UTC 2025","","test_ha","",""
"Verifies that when the cluster is formed a new user is created.","96177","test_connect_to_cluster_creates_user","tests.integration.sharding_tests","Thu Feb 20 01:42:46 UTC 2025","passed","Thu Feb 20 01:44:22 UTC 2025","","test_mongos","",""
"Test verifies that only the leader can set a password, while all units can read it.","14280","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Thu Feb 20 01:42:40 UTC 2025","passed","Thu Feb 20 01:42:55 UTC 2025","","test_charm","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","374258","test_build_and_deploy","tests.integration.tls_tests","Thu Feb 20 01:38:50 UTC 2025","passed","Thu Feb 20 01:45:04 UTC 2025","","test_tls","",""
"Build and deploy a sharded cluster.","358820","test_build_and_deploy","tests.integration.sharding_tests","Thu Feb 20 01:38:09 UTC 2025","passed","Thu Feb 20 01:44:07 UTC 2025","","test_sharding_tls","",""
"","6196","test_shards_cannot_run_backup_actions","tests.integration.sharding_tests","Thu Feb 20 01:48:35 UTC 2025","passed","Thu Feb 20 01:48:41 UTC 2025","","test_sharding_backups","",""
"Test that two different application connect to the database with different credentials.","111450","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Thu Feb 20 01:55:23 UTC 2025","passed","Thu Feb 20 01:57:14 UTC 2025","","test_charm_relations","",""
"Tests clusters behavior when scaling down a minority and removing a primary replica.

    - NOTE: on a provided cluster this calculates the largest set of minority members and removes
    them, the primary is guaranteed to be one of those minority members.

    This test verifies that the behavior of:
    1.  when a leader is deleted that the new leader, on calling leader_elected will reconfigure
    the replicaset.
    2. primary stepping down leads to a replica set with a new primary.
    3. removing a minority of units (2 out of 5) is feasiable.
    4. race conditions due to removing multiple units is handled.
    5. deleting a non-leader unit is properly handled.
    ","50137","test_scale_down_capablities","tests.integration.ha_tests","Thu Feb 20 01:51:07 UTC 2025","passed","Thu Feb 20 01:51:58 UTC 2025","","test_ha","",""
"Tests safe removal of a shard that is not primary.","919476","test_removal_of_non_primary_shard","tests.integration.sharding_tests","Thu Feb 20 02:13:17 UTC 2025","passed","Thu Feb 20 02:28:36 UTC 2025","","test_sharding","",""
"Tests that sharded cluster can be configured for s3 configurations.","313345","test_set_credentials_in_cluster","tests.integration.sharding_tests","Thu Feb 20 01:43:07 UTC 2025","passed","Thu Feb 20 01:48:20 UTC 2025","","test_sharding_backups","",""
"Tests that the cluster can disable TLS.","0","test_disable_cluster_with_tls","tests.integration.sharding_tests","Thu Feb 20 01:49:49 UTC 2025","skipped","Thu Feb 20 01:49:49 UTC 2025","","test_sharding_tls","",""
"Tests that the cluster can be integrated with TLS.","0","test_tls_then_build_cluster","tests.integration.sharding_tests","Thu Feb 20 01:49:49 UTC 2025","skipped","Thu Feb 20 01:49:49 UTC 2025","","test_sharding_tls","",""
"Build and deploy a sharded cluster.","51146","test_build_and_deploy","tests.integration.sharding_tests","Thu Feb 20 01:39:57 UTC 2025","passed","Thu Feb 20 01:40:48 UTC 2025","","test_sharding_race_conds","",""
"Verifies connecting a shard to a mongos router fails.","5306","test_shard_mongos_relation","tests.integration.sharding_tests","Thu Feb 20 01:45:04 UTC 2025","passed","Thu Feb 20 01:45:09 UTC 2025","","test_sharding_relations","",""
"Verify that the config-server can safely rollback without losing writes.","226847","test_rollback_on_config_server","tests.integration.upgrade","Thu Feb 20 01:52:15 UTC 2025","broken","Thu Feb 20 01:56:02 UTC 2025","","test_sharding_rollback","",""
