"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the config-server can safely rollback without losing writes.","198041","test_rollback_on_config_server","tests.integration.upgrade","Thu Feb 27 01:38:53 UTC 2025","broken","Thu Feb 27 01:42:11 UTC 2025","","test_sharding_rollback","",""
"Build and deploy one unit of MongoDB.","295393","test_build_and_deploy","tests.integration.upgrade","Thu Feb 27 01:29:20 UTC 2025","passed","Thu Feb 27 01:34:15 UTC 2025","","test_upgrade","",""
"Tests writing data to mongos gets propagated to shards.","36873","test_sharding","tests.integration.sharding_tests","Thu Feb 27 01:42:47 UTC 2025","passed","Thu Feb 27 01:43:24 UTC 2025","","test_sharding","",""
"","841800","test_network_cut","tests.integration.ha_tests","Thu Feb 27 02:00:37 UTC 2025","passed","Thu Feb 27 02:14:39 UTC 2025","","test_ha","",""
"Tests that sharded cluster can be configured for s3 configurations.","260342","test_set_credentials_in_cluster","tests.integration.sharding_tests","Thu Feb 27 01:34:15 UTC 2025","passed","Thu Feb 27 01:38:35 UTC 2025","","test_sharding_backups","",""
"","11162","test_create_and_list_backups","tests.integration.backup_tests","Thu Feb 27 01:35:59 UTC 2025","passed","Thu Feb 27 01:36:10 UTC 2025","","test_backups","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","379765","test_build_and_deploy","tests.integration.tls_tests","Thu Feb 27 01:30:05 UTC 2025","passed","Thu Feb 27 01:36:25 UTC 2025","","test_tls","",""
"Verifies that using a replica as a config-server fails.","26524","test_replication_shard_relation","tests.integration.sharding_tests","Thu Feb 27 01:35:35 UTC 2025","passed","Thu Feb 27 01:36:01 UTC 2025","","test_sharding_relations","",""
"Verify each unit has TLS disabled after removing relation to the TLS application.","91549","test_disable_tls","tests.integration.tls_tests","Thu Feb 27 01:46:28 UTC 2025","passed","Thu Feb 27 01:48:00 UTC 2025","","test_tls","",""
"Build and deploy a sharded cluster.","298746","test_build_and_deploy","tests.integration.sharding_tests","Thu Feb 27 01:29:39 UTC 2025","passed","Thu Feb 27 01:34:38 UTC 2025","","test_sharding_relations","",""
