"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that the cluster can be integrated with TLS.","1122129","test_tls_then_build_cluster","tests.integration.sharding_tests","Mon Jan 20 02:15:39 UTC 2025","passed","Mon Jan 20 02:34:21 UTC 2025","","test_sharding_tls","",""
"Scale up and down the application and verify the replica set is healthy.","0","test_scale_up_down","tests.integration.ha_tests","Mon Jan 20 01:57:22 UTC 2025","skipped","Mon Jan 20 01:57:22 UTC 2025","","test_ha","",""
"Build deploy, and integrate, a sharded cluster.","1225856","test_build_and_deploy","tests.integration.upgrade","Mon Jan 20 01:37:56 UTC 2025","passed","Mon Jan 20 01:58:22 UTC 2025","","test_sharding_rollback","",""
"Test that two different application connect to the database with different credentials.","0","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Mon Jan 20 01:50:52 UTC 2025","skipped","Mon Jan 20 01:50:52 UTC 2025","","test_charm_relations","",""
"Sanity check that endpoints are running.","3749","test_endpoints","tests.integration.metrics_tests","Mon Jan 20 01:46:09 UTC 2025","passed","Mon Jan 20 01:46:12 UTC 2025","","test_metrics","",""
"","0","test_kill_db_process","tests.integration.ha_tests","Mon Jan 20 01:57:22 UTC 2025","skipped","Mon Jan 20 01:57:22 UTC 2025","","test_ha","",""
"Tests that there is exactly one replica set primary unit reported by juju.","64533","test_exactly_one_primary_reported_by_juju","tests.integration","Mon Jan 20 02:06:54 UTC 2025","passed","Mon Jan 20 02:07:58 UTC 2025","","test_charm","",""
"Tests that there is exactly one primary in the deployed units.","1042","test_exactly_one_primary","tests.integration","Mon Jan 20 01:55:06 UTC 2025","passed","Mon Jan 20 01:55:07 UTC 2025","","test_charm","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","144188","test_set_tls_key","tests.integration.tls_tests","Mon Jan 20 02:04:33 UTC 2025","passed","Mon Jan 20 02:06:57 UTC 2025","","test_tls","",""
"Build and deploy a sharded cluster.","631742","test_build_and_deploy","tests.integration.sharding_tests","Mon Jan 20 01:47:35 UTC 2025","passed","Mon Jan 20 01:58:07 UTC 2025","","test_sharding_backups","",""
"Verifies that the preflight check can run successfully.","160571","test_preflight_check_failure","tests.integration.upgrade","Mon Jan 20 01:51:40 UTC 2025","passed","Mon Jan 20 01:54:20 UTC 2025","","test_upgrade","",""
"Test that audit log was created and contains actual audit data.","846","test_audit_log","tests.integration","Mon Jan 20 01:55:47 UTC 2025","passed","Mon Jan 20 01:55:48 UTC 2025","","test_charm","",""
"Simple backup tests that verifies that writes are correctly restored.","209305","test_restore","tests.integration.backup_tests","Mon Jan 20 02:09:54 UTC 2025","passed","Mon Jan 20 02:13:24 UTC 2025","","test_backups","",""
"Tests writing data to mongos gets propagated to shards.","34027","test_sharding","tests.integration.sharding_tests","Mon Jan 20 02:08:21 UTC 2025","passed","Mon Jan 20 02:08:55 UTC 2025","","test_sharding","",""
"Verifies that the charm goes into blocked status when s3 creds are incorrect.","38514","test_blocked_incorrect_creds","tests.integration.backup_tests","Mon Jan 20 01:57:37 UTC 2025","passed","Mon Jan 20 01:58:15 UTC 2025","","test_backups","",""
"Tests that sharded cluster can successfully create and list backups.","10150","test_create_and_list_backups_in_cluster","tests.integration.sharding_tests","Mon Jan 20 02:04:26 UTC 2025","passed","Mon Jan 20 02:04:36 UTC 2025","","test_sharding_backups","",""
"Build and deploy one unit of MongoDB.","495673","test_build_and_deploy","tests.integration.metrics_tests","Mon Jan 20 01:37:53 UTC 2025","passed","Mon Jan 20 01:46:09 UTC 2025","","test_metrics","",""
"Tests safe removal of a shard that is not primary.","316817","test_removal_of_non_primary_shard","tests.integration.sharding_tests","Mon Jan 20 02:12:19 UTC 2025","passed","Mon Jan 20 02:17:36 UTC 2025","","test_sharding","",""
"Test verifies that only the leader can set a password, while all units can read it.","8258","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Mon Jan 20 01:55:27 UTC 2025","passed","Mon Jan 20 01:55:35 UTC 2025","","test_charm","",""
"Tests that mongodb is running as a replica set for the application unit.","20","test_unit_is_running_as_replica_set[0]","tests.integration","Mon Jan 20 01:55:05 UTC 2025","passed","Mon Jan 20 01:55:05 UTC 2025","","test_charm","",""
"","863630","test_tls_inconsistent_rels","tests.integration.sharding_tests","Mon Jan 20 02:34:21 UTC 2025","passed","Mon Jan 20 02:48:45 UTC 2025","","test_sharding_tls","",""
"Verifies that the app metadata changes with db relation joined and departed events.","0","test_app_relation_metadata_change","tests.integration.relation_tests.new_relations","Mon Jan 20 01:50:52 UTC 2025","skipped","Mon Jan 20 01:50:52 UTC 2025","","test_charm_relations","",""
"Tests that mongodb is running as a replica set for the application unit.","23","test_unit_is_running_as_replica_set[2]","tests.integration","Mon Jan 20 01:55:05 UTC 2025","passed","Mon Jan 20 01:55:05 UTC 2025","","test_charm","",""
