"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that using a replica as a config-server fails.","27489","test_replication_shard_relation","tests.integration.sharding_tests","Wed Nov 27 04:42:12 UTC 2024","passed","Wed Nov 27 04:42:40 UTC 2024","","test_sharding_relations","",""
"Verify that a shard can only be related to one config server.","20501","test_only_one_config_server_relation","tests.integration.sharding_tests","Wed Nov 27 04:41:17 UTC 2024","passed","Wed Nov 27 04:41:38 UTC 2024","","test_sharding_relations","",""
"Verifies that the application and unit are active.","","test_status","tests.integration","","unknown","","","test_charm","",""
"","194321","test_network_cut","tests.integration.ha_tests","Wed Nov 27 04:23:07 UTC 2024","passed","Wed Nov 27 04:26:22 UTC 2024","","test_ha","",""
"Build and deploy one unit of MongoDB.","381154","test_build_and_deploy","tests.integration.backup_tests","Wed Nov 27 03:35:12 UTC 2024","passed","Wed Nov 27 03:41:34 UTC 2024","","test_backups","",""
"Verifies connecting a shard to a mongos router fails.","3891","test_shard_mongos_relation","tests.integration.sharding_tests","Wed Nov 27 04:43:06 UTC 2024","passed","Wed Nov 27 04:43:10 UTC 2024","","test_sharding_relations","",""
"Tests that sharded cluster can be configured for s3 configurations.","243101","test_set_credentials_in_cluster","tests.integration.sharding_tests","Wed Nov 27 04:00:47 UTC 2024","passed","Wed Nov 27 04:04:50 UTC 2024","","test_sharding_backups","",""
"Test verifies that only the leader can set a password, while all units can read it.","","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","","unknown","","","test_charm","",""
"Test that audit log was created and contains actual audit data.","","test_audit_log","tests.integration","","unknown","","","test_charm","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","565418","test_restore_backup","tests.integration.sharding_tests","Wed Nov 27 04:11:27 UTC 2024","passed","Wed Nov 27 04:20:53 UTC 2024","","test_sharding_backups","",""
"Scale up and down the application and verify the replica set is healthy.","1000316","test_scale_up_down","tests.integration.ha_tests","Wed Nov 27 04:26:25 UTC 2024","broken","Wed Nov 27 04:43:05 UTC 2024","","test_ha","",""
"Verifies that after changing the backup password the pbm tool is updated and functional.","41850","test_update_backup_password","tests.integration.backup_tests","Wed Nov 27 04:33:56 UTC 2024","passed","Wed Nov 27 04:34:38 UTC 2024","","test_backups","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","178440","test_storage_re_use","tests.integration.ha_tests","Wed Nov 27 03:59:38 UTC 2024","passed","Wed Nov 27 04:02:36 UTC 2024","","test_ha","",""
"","41123","test_freeze_db_process","tests.integration.ha_tests","Wed Nov 27 04:13:07 UTC 2024","passed","Wed Nov 27 04:13:48 UTC 2024","","test_ha","",""
"Build and deploy one unit of MongoDB.","","test_build_and_deploy","tests.integration.upgrade","","unknown","","","test_upgrade","",""
"Verify that a config-server and shard can safely rollback without losing writes.","","test_rollback_on_shard_and_config_server","tests.integration.upgrade","","unknown","","","test_sharding_rollback","",""
"","973993","test_restore_new_cluster[GCP]","tests.integration.backup_tests","Wed Nov 27 04:17:40 UTC 2024","broken","Wed Nov 27 04:33:54 UTC 2024","","test_backups","",""
"Build and deploy one unit of MongoDB.","224142","test_build_and_deploy","tests.integration.ha_tests","Wed Nov 27 03:55:52 UTC 2024","passed","Wed Nov 27 03:59:37 UTC 2024","","test_ha","",""
"Test that log are being rotated.","","test_log_rotate","tests.integration","","unknown","","","test_charm","",""
"","4166","test_shards_cannot_run_backup_actions","tests.integration.sharding_tests","Wed Nov 27 04:05:00 UTC 2024","passed","Wed Nov 27 04:05:04 UTC 2024","","test_sharding_backups","",""
"Test that an application can connect to different clusters of the same database.","29611","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.relation_tests.new_relations","Wed Nov 27 04:06:49 UTC 2024","passed","Wed Nov 27 04:07:19 UTC 2024","","test_charm_relations","",""
