"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify newly added and newly removed members properly replica data.

    Verify newly members have replicated data and newly removed members are gone without data.
    ","304381","test_replication_member_scaling","tests.integration.ha_tests","Sun Feb 16 01:54:14 UTC 2025","passed","Sun Feb 16 01:59:19 UTC 2025","","test_ha","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","1841602","test_migrate_restore_backup","tests.integration.sharding_tests","Sun Feb 16 02:04:54 UTC 2025","passed","Sun Feb 16 02:35:35 UTC 2025","","test_sharding_backups","",""
"","219765","test_network_cut","tests.integration.ha_tests","Sun Feb 16 02:12:06 UTC 2025","passed","Sun Feb 16 02:15:46 UTC 2025","","test_ha","",""
"Build and deploy a sharded cluster.","59059","test_build_and_deploy","tests.integration.sharding_tests","Sun Feb 16 01:31:38 UTC 2025","passed","Sun Feb 16 01:32:37 UTC 2025","","test_sharding_race_conds","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","7524","test_reset_and_get_password_secret_same_as_cli","tests.integration","Sun Feb 16 01:34:45 UTC 2025","passed","Sun Feb 16 01:34:53 UTC 2025","","test_charm","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","884302","test_restore_backup","tests.integration.sharding_tests","Sun Feb 16 01:49:39 UTC 2025","passed","Sun Feb 16 02:04:23 UTC 2025","","test_sharding_backups","",""
"Verify that endpoints still function correctly after the monitor user password changes.","24786","test_endpoints_new_password","tests.integration.metrics_tests","Sun Feb 16 01:33:27 UTC 2025","passed","Sun Feb 16 01:33:52 UTC 2025","","test_metrics","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","0","test_upgrade","tests.integration.upgrade","Sun Feb 16 01:33:24 UTC 2025","skipped","Sun Feb 16 01:33:24 UTC 2025","","test_sharding_upgrade","",""
"Verifies integrating a shard to s3-integrator fails.","23209","test_shard_s3_relation","tests.integration.sharding_tests","Sun Feb 16 01:39:15 UTC 2025","passed","Sun Feb 16 01:39:38 UTC 2025","","test_sharding_relations","",""
"Tests that mongodb is running as a replica set for the application unit.","29","test_unit_is_running_as_replica_set[1]","tests.integration","Sun Feb 16 01:33:48 UTC 2025","passed","Sun Feb 16 01:33:48 UTC 2025","","test_charm","",""
