"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the preflight check can run successfully.","166017","test_preflight_check_failure","tests.integration.upgrade","Fri Nov 29 04:09:26 UTC 2024","passed","Fri Nov 29 04:12:12 UTC 2024","","test_upgrade","",""
"Build and deploy a sharded cluster.","491536","test_build_and_deploy","tests.integration.sharding_tests","Fri Nov 29 03:41:35 UTC 2024","passed","Fri Nov 29 03:49:47 UTC 2024","","test_sharding_tls","",""
"Tests that the cluster can be integrated with TLS.","739038","test_tls_then_build_cluster","tests.integration.sharding_tests","Fri Nov 29 04:03:35 UTC 2024","passed","Fri Nov 29 04:15:54 UTC 2024","","test_sharding_tls","",""
"Tests that right after deployment that the primary unit is the leader.","1073","test_leader_is_primary_on_deployment","tests.integration","Fri Nov 29 03:47:50 UTC 2024","passed","Fri Nov 29 03:47:51 UTC 2024","","test_charm","",""
"Build and deploy one unit of MongoDB.","299397","test_build_and_deploy","tests.integration","Fri Nov 29 03:42:34 UTC 2024","passed","Fri Nov 29 03:47:33 UTC 2024","","test_charm","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","157055","test_set_tls_key","tests.integration.tls_tests","Fri Nov 29 03:56:15 UTC 2024","passed","Fri Nov 29 03:58:52 UTC 2024","","test_tls","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","82186","test_pre_upgrade_check_failure","tests.integration.upgrade","Fri Nov 29 04:33:14 UTC 2024","passed","Fri Nov 29 04:34:36 UTC 2024","","test_sharding_upgrade","",""
"Tests writing data to mongos gets propagated to shards.","34132","test_sharding","tests.integration.sharding_tests","Fri Nov 29 04:02:57 UTC 2024","passed","Fri Nov 29 04:03:31 UTC 2024","","test_sharding","",""
"Verifies charm goes into active status when s3 config and creds options are correct.","76752","test_ready_correct_conf","tests.integration.backup_tests","Fri Nov 29 03:48:14 UTC 2024","passed","Fri Nov 29 03:49:30 UTC 2024","","test_backups","",""
"Verifies that the preflight check can run successfully.","124597","test_preflight_check","tests.integration.upgrade","Fri Nov 29 04:07:21 UTC 2024","passed","Fri Nov 29 04:09:26 UTC 2024","","test_upgrade","",""
"Test that an application can connect to different clusters of the same database.","29202","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.relation_tests.new_relations","Fri Nov 29 03:55:51 UTC 2024","passed","Fri Nov 29 03:56:21 UTC 2024","","test_charm_relations","",""
"Verify removed applications no longer have access to the database.","24055","test_removed_relation_no_longer_has_access","tests.integration.relation_tests.new_relations","Fri Nov 29 03:57:20 UTC 2024","passed","Fri Nov 29 03:57:44 UTC 2024","","test_charm_relations","",""
"Verify that the config-server can safely rollback without losing writes.","576790","test_rollback_on_config_server","tests.integration.upgrade","Fri Nov 29 04:09:55 UTC 2024","passed","Fri Nov 29 04:19:32 UTC 2024","","test_sharding_rollback","",""
"Tests that there is exactly one primary in the deployed units.","1055","test_exactly_one_primary","tests.integration","Fri Nov 29 03:47:51 UTC 2024","passed","Fri Nov 29 03:47:52 UTC 2024","","test_charm","",""
"","229915","test_full_cluster_restart","tests.integration.ha_tests","Fri Nov 29 04:09:48 UTC 2024","passed","Fri Nov 29 04:13:38 UTC 2024","","test_ha","",""
"Verifies connecting a shard to a mongos router fails.","3460","test_shard_mongos_relation","tests.integration.sharding_tests","Fri Nov 29 03:49:58 UTC 2024","passed","Fri Nov 29 03:50:02 UTC 2024","","test_sharding_relations","",""
