"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the dependencies in the charm version are accurate.","1120","test_consistency_between_workload_and_metadata","tests.integration","Fri Dec 13 03:10:01 UTC 2024","passed","Fri Dec 13 03:10:02 UTC 2024","","test_charm","",""
"Verify that the config-server can safely rollback without losing writes.","644860","test_rollback_on_config_server","tests.integration.upgrade","Fri Dec 13 03:46:17 UTC 2024","passed","Fri Dec 13 03:57:02 UTC 2024","","test_sharding_rollback","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to randomly generated keys.
    ","155112","test_rotate_tls_key","tests.integration.tls_tests","Fri Dec 13 03:14:55 UTC 2024","passed","Fri Dec 13 03:17:31 UTC 2024","","test_tls","",""
"Tests that there is exactly one primary in the deployed units.","1046","test_exactly_one_primary","tests.integration","Fri Dec 13 03:10:18 UTC 2024","passed","Fri Dec 13 03:10:19 UTC 2024","","test_charm","",""
"Tests that removing a shard application safely drains data.

    It is preferred that users remove-relations instead of removing shard applications. But we do
    support removing shard applications in a safe way.
    ","660977","test_unconventual_shard_removal","tests.integration.sharding_tests","Fri Dec 13 03:41:17 UTC 2024","passed","Fri Dec 13 03:52:18 UTC 2024","","test_sharding","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","190896","test_set_tls_key","tests.integration.tls_tests","Fri Dec 13 03:17:31 UTC 2024","passed","Fri Dec 13 03:20:41 UTC 2024","","test_tls","",""
"Verifies connecting a replica to a mongos router fails.","23292","test_replication_mongos_relation","tests.integration.sharding_tests","Fri Dec 13 03:11:53 UTC 2024","passed","Fri Dec 13 03:12:17 UTC 2024","","test_sharding_relations","",""
"Verifies that the app metadata changes with db relation joined and departed events.","347808","test_app_relation_metadata_change","tests.integration.relation_tests.new_relations","Fri Dec 13 02:58:44 UTC 2024","passed","Fri Dec 13 03:04:32 UTC 2024","","test_charm_relations","",""
"Verifies that the upgrade can run successfully.","327840","test_upgrade","tests.integration.upgrade","Fri Dec 13 03:31:33 UTC 2024","passed","Fri Dec 13 03:37:00 UTC 2024","","test_upgrade","",""
"Verify each unit has TLS enabled after relating to the TLS application.","147182","test_enable_tls","tests.integration.tls_tests","Fri Dec 13 03:12:28 UTC 2024","passed","Fri Dec 13 03:14:55 UTC 2024","","test_tls","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","414551","test_build_and_deploy","tests.integration.tls_tests","Fri Dec 13 03:05:34 UTC 2024","passed","Fri Dec 13 03:12:28 UTC 2024","","test_tls","",""
"Tests safe removal of a shard that is not primary.","474109","test_removal_of_non_primary_shard","tests.integration.sharding_tests","Fri Dec 13 03:33:23 UTC 2024","passed","Fri Dec 13 03:41:17 UTC 2024","","test_sharding","",""
"Tests that mongodb is running as a replica set for the application unit.","29","test_unit_is_running_as_replica_set[0]","tests.integration","Fri Dec 13 03:10:17 UTC 2024","passed","Fri Dec 13 03:10:17 UTC 2024","","test_charm","",""
"","0","test_restore_new_cluster[GCP]","tests.integration.backup_tests","Fri Dec 13 03:19:29 UTC 2024","skipped","Fri Dec 13 03:19:29 UTC 2024","","test_backups","",""
"Verify each unit has TLS disabled after removing relation to the TLS application.","87186","test_disable_tls","tests.integration.tls_tests","Fri Dec 13 03:20:41 UTC 2024","passed","Fri Dec 13 03:22:09 UTC 2024","","test_tls","",""
"Tests the integration of cluster components works without error.","365479","test_cluster_active","tests.integration.sharding_tests","Fri Dec 13 03:20:33 UTC 2024","passed","Fri Dec 13 03:26:39 UTC 2024","","test_sharding","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","119252","test_pre_upgrade_check_failure","tests.integration.upgrade","Fri Dec 13 03:57:29 UTC 2024","passed","Fri Dec 13 03:59:29 UTC 2024","","test_sharding_upgrade","",""
