"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests clusters behavior when scaling down a minority and removing a primary replica.

    - NOTE: on a provided cluster this calculates the largest set of minority members and removes
    them, the primary is guaranteed to be one of those minority members.

    This test verifies that the behavior of:
    1.  when a leader is deleted that the new leader, on calling leader_elected will reconfigure
    the replicaset.
    2. primary stepping down leads to a replica set with a new primary.
    3. removing a minority of units (2 out of 5) is feasiable.
    4. race conditions due to removing multiple units is handled.
    5. deleting a non-leader unit is properly handled.
    ","45322","test_scale_down_capablities","tests.integration.ha_tests","Tue Nov 26 03:36:06 UTC 2024","passed","Tue Nov 26 03:36:52 UTC 2024","","test_ha","",""
"Verify that a config-server and shard can safely rollback without losing writes.","541241","test_rollback_on_shard_and_config_server","tests.integration.upgrade","Tue Nov 26 04:19:50 UTC 2024","passed","Tue Nov 26 04:28:51 UTC 2024","","test_sharding_rollback","",""
"Verify each unit has TLS disabled after removing relation to the TLS application.","0","test_disable_tls","tests.integration.tls_tests","Tue Nov 26 04:13:11 UTC 2024","skipped","Tue Nov 26 04:13:11 UTC 2024","","test_tls","",""
"Build and deploy a sharded cluster.","351177","test_build_and_deploy","tests.integration.sharding_tests","Tue Nov 26 03:45:43 UTC 2024","passed","Tue Nov 26 03:51:34 UTC 2024","","test_sharding_relations","",""
"","4147","test_shards_cannot_run_backup_actions","tests.integration.sharding_tests","Tue Nov 26 03:40:30 UTC 2024","passed","Tue Nov 26 03:40:34 UTC 2024","","test_sharding_backups","",""
"Tests that there is exactly one primary in the deployed units.","0","test_exactly_one_primary","tests.integration","Tue Nov 26 04:16:32 UTC 2024","skipped","Tue Nov 26 04:16:32 UTC 2024","","test_charm","",""
"Build and deploy a sharded cluster.","410464","test_build_and_deploy","tests.integration.sharding_tests","Tue Nov 26 03:25:54 UTC 2024","passed","Tue Nov 26 03:32:44 UTC 2024","","test_sharding_backups","",""
"Verify that a shard can only be related to one config server.","20401","test_only_one_config_server_relation","tests.integration.sharding_tests","Tue Nov 26 03:51:34 UTC 2024","passed","Tue Nov 26 03:51:54 UTC 2024","","test_sharding_relations","",""
"Tests that action set-password outputs resets the password on app data and mongod.","0","test_set_password_action","tests.integration","Tue Nov 26 04:16:32 UTC 2024","skipped","Tue Nov 26 04:16:32 UTC 2024","","test_charm","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","139739","test_pre_upgrade_check_failure","tests.integration.upgrade","Tue Nov 26 04:34:07 UTC 2024","passed","Tue Nov 26 04:36:27 UTC 2024","","test_sharding_upgrade","",""
"Build and deploy one unit of MongoDB.","315474","test_build_and_deploy","tests.integration.metrics_tests","Tue Nov 26 03:20:35 UTC 2024","passed","Tue Nov 26 03:25:50 UTC 2024","","test_metrics","",""
"","54753","test_restart_db_process","tests.integration.ha_tests","Tue Nov 26 03:51:02 UTC 2024","passed","Tue Nov 26 03:51:57 UTC 2024","","test_ha","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","0","test_set_tls_key","tests.integration.tls_tests","Tue Nov 26 04:13:11 UTC 2024","skipped","Tue Nov 26 04:13:11 UTC 2024","","test_tls","",""
"Test basic functionality of database relation interface.","90489","test_database_relation_with_charm_libraries","tests.integration.relation_tests.new_relations","Tue Nov 26 03:24:27 UTC 2024","passed","Tue Nov 26 03:25:58 UTC 2024","","test_charm_relations","",""
"Verify each unit has TLS enabled after relating to the TLS application.","0","test_enable_tls","tests.integration.tls_tests","Tue Nov 26 04:13:11 UTC 2024","skipped","Tue Nov 26 04:13:11 UTC 2024","","test_tls","",""
"Build deploy, and integrate, a sharded cluster.","1388369","test_build_and_deploy","tests.integration.upgrade","Tue Nov 26 03:54:06 UTC 2024","passed","Tue Nov 26 04:17:14 UTC 2024","","test_sharding_upgrade","",""
"Build deploy, and integrate, a sharded cluster.","1009003","test_build_and_deploy","tests.integration.upgrade","Tue Nov 26 03:51:48 UTC 2024","passed","Tue Nov 26 04:08:37 UTC 2024","","test_sharding_rollback","",""
"Check consistency, ie write to primary, read data from secondaries.","12594","test_replication_across_members","tests.integration.ha_tests","Tue Nov 26 03:36:57 UTC 2024","passed","Tue Nov 26 03:37:10 UTC 2024","","test_ha","",""
"Tests safe removal of a shard that is not primary.","680743","test_removal_of_non_primary_shard","tests.integration.sharding_tests","Tue Nov 26 03:44:07 UTC 2024","passed","Tue Nov 26 03:55:28 UTC 2024","","test_sharding","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","444323","test_storage_re_use","tests.integration.ha_tests","Tue Nov 26 03:20:08 UTC 2024","passed","Tue Nov 26 03:27:33 UTC 2024","","test_ha","",""
"Tests that each cluster component can rotate TLS certs.","497100","test_rotate_tls","tests.integration.sharding_tests","Tue Nov 26 03:57:44 UTC 2024","passed","Tue Nov 26 04:06:01 UTC 2024","","test_sharding_tls","",""
"Test that two different application connect to the database with different credentials.","80871","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Tue Nov 26 03:30:36 UTC 2024","passed","Tue Nov 26 03:31:57 UTC 2024","","test_charm_relations","",""
"Verifies charm goes into active status when s3 config and creds options are correct.","76596","test_ready_correct_conf","tests.integration.backup_tests","Tue Nov 26 03:25:28 UTC 2024","passed","Tue Nov 26 03:26:44 UTC 2024","","test_backups","",""
"Test that the password can't be set to an empty string.","0","test_empty_password","tests.integration","Tue Nov 26 04:16:32 UTC 2024","skipped","Tue Nov 26 04:16:32 UTC 2024","","test_charm","",""
"Tests that the cluster can be integrated with TLS.","924570","test_tls_then_build_cluster","tests.integration.sharding_tests","Tue Nov 26 04:07:04 UTC 2024","passed","Tue Nov 26 04:22:28 UTC 2024","","test_sharding_tls","",""
"Tests that right after deployment that the primary unit is the leader.","0","test_leader_is_primary_on_deployment","tests.integration","Tue Nov 26 04:16:32 UTC 2024","skipped","Tue Nov 26 04:16:32 UTC 2024","","test_charm","",""
"Tests that sharded cluster can be configured for s3 configurations.","454131","test_set_credentials_in_cluster","tests.integration.sharding_tests","Tue Nov 26 03:32:44 UTC 2024","passed","Tue Nov 26 03:40:18 UTC 2024","","test_sharding_backups","",""
"Test that log are being rotated.","0","test_log_rotate","tests.integration","Tue Nov 26 04:16:32 UTC 2024","skipped","Tue Nov 26 04:16:32 UTC 2024","","test_charm","",""
