"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that removing a shard application safely drains data.

    It is preferred that users remove-relations instead of removing shard applications. But we do
    support removing shard applications in a safe way.
    ","511379","test_unconventual_shard_removal","tests.integration.sharding_tests","Thu Dec 12 04:20:11 UTC 2024","passed","Thu Dec 12 04:28:42 UTC 2024","","test_sharding","",""
"Deploy both charms (application and database) to use in the tests.","179993","test_deploy_charms","tests.integration.relation_tests.new_relations","Thu Dec 12 03:56:56 UTC 2024","passed","Thu Dec 12 03:59:56 UTC 2024","","test_charm_relations","",""
"Verifies that the preflight check can run successfully.","155784","test_preflight_check_failure","tests.integration.upgrade","Thu Dec 12 03:59:35 UTC 2024","passed","Thu Dec 12 04:02:10 UTC 2024","","test_upgrade","",""
"Verifies integrating a shard to s3-integrator fails.","7985","test_shard_s3_relation","tests.integration.sharding_tests","Thu Dec 12 04:00:02 UTC 2024","passed","Thu Dec 12 04:00:10 UTC 2024","","test_sharding_relations","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","501665","test_restore_backup","tests.integration.sharding_tests","Thu Dec 12 03:59:45 UTC 2024","passed","Thu Dec 12 04:08:07 UTC 2024","","test_sharding_backups","",""
"Tests that the cluster can disable TLS.","53979","test_disable_cluster_with_tls","tests.integration.sharding_tests","Thu Dec 12 04:04:21 UTC 2024","passed","Thu Dec 12 04:05:15 UTC 2024","","test_sharding_tls","",""
"Test that an application can connect to different clusters of the same database.","0","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.relation_tests.new_relations","Thu Dec 12 04:09:56 UTC 2024","skipped","Thu Dec 12 04:09:56 UTC 2024","","test_charm_relations","",""
"","230152","test_full_cluster_restart","tests.integration.ha_tests","Thu Dec 12 03:58:35 UTC 2024","passed","Thu Dec 12 04:02:25 UTC 2024","","test_ha","",""
"Verifies that the dependencies in the charm version are accurate.","1140","test_consistency_between_workload_and_metadata","tests.integration","Thu Dec 12 03:48:29 UTC 2024","passed","Thu Dec 12 03:48:30 UTC 2024","","test_charm","",""
"","614421","test_restore_new_cluster[AWS]","tests.integration.backup_tests","Thu Dec 12 03:55:53 UTC 2024","passed","Thu Dec 12 04:06:07 UTC 2024","","test_backups","",""
"Tests that sharded cluster can successfully create and list backups.","100695","test_rotate_backup_password","tests.integration.sharding_tests","Thu Dec 12 03:57:41 UTC 2024","passed","Thu Dec 12 03:59:22 UTC 2024","","test_sharding_backups","",""
"Verifies that the preflight check can run successfully.","124667","test_preflight_check","tests.integration.upgrade","Thu Dec 12 03:57:30 UTC 2024","passed","Thu Dec 12 03:59:35 UTC 2024","","test_upgrade","",""
"","230641","test_full_cluster_crash","tests.integration.ha_tests","Thu Dec 12 03:54:37 UTC 2024","passed","Thu Dec 12 03:58:28 UTC 2024","","test_ha","",""
"Tests that there is exactly one replica set primary unit reported by juju.","64503","test_exactly_one_primary_reported_by_juju","tests.integration","Thu Dec 12 04:00:42 UTC 2024","passed","Thu Dec 12 04:01:46 UTC 2024","","test_charm","",""
"Tests that mongodb is running as a replica set for the application unit.","28","test_unit_is_running_as_replica_set[1]","tests.integration","Thu Dec 12 03:48:45 UTC 2024","passed","Thu Dec 12 03:48:45 UTC 2024","","test_charm","",""
"Verify that the config-server can safely rollback without losing writes.","593543","test_rollback_on_config_server","tests.integration.upgrade","Thu Dec 12 03:53:39 UTC 2024","passed","Thu Dec 12 04:03:33 UTC 2024","","test_sharding_rollback","",""
"Simple backup tests that verifies that writes are correctly restored.","179777","test_restore","tests.integration.backup_tests","Thu Dec 12 03:52:28 UTC 2024","passed","Thu Dec 12 03:55:28 UTC 2024","","test_backups","",""
"Sanity check that endpoints are running.","0","test_endpoints","tests.integration.metrics_tests","Thu Dec 12 03:54:33 UTC 2024","skipped","Thu Dec 12 03:54:33 UTC 2024","","test_metrics","",""
