"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests the integration of cluster components works without error.","381780","test_cluster_active","tests.integration.sharding_tests","Thu Feb 13 01:50:16 UTC 2025","passed","Thu Feb 13 01:56:38 UTC 2025","","test_sharding","",""
"Deploy both charms (application and database) to use in the tests.","122708","test_deploy_charms","tests.integration.relation_tests.new_relations","Thu Feb 13 01:36:54 UTC 2025","passed","Thu Feb 13 01:38:56 UTC 2025","","test_charm_relations","",""
"Tests that mongodb is running as a replica set for the application unit.","32","test_unit_is_running_as_replica_set[2]","tests.integration","Thu Feb 13 01:40:58 UTC 2025","passed","Thu Feb 13 01:40:58 UTC 2025","","test_charm","",""
"Tests that mongodb is running as a replica set for the application unit.","28","test_unit_is_running_as_replica_set[1]","tests.integration","Thu Feb 13 01:40:58 UTC 2025","passed","Thu Feb 13 01:40:58 UTC 2025","","test_charm","",""
"Tests the immediate integration of cluster components works without error.","555704","test_immediate_relate","tests.integration.sharding_tests","Thu Feb 13 01:38:16 UTC 2025","passed","Thu Feb 13 01:47:32 UTC 2025","","test_sharding_race_conds","",""
"Verifies that using a replica as a config-server fails.","27344","test_replication_shard_relation","tests.integration.sharding_tests","Thu Feb 13 01:43:04 UTC 2025","passed","Thu Feb 13 01:43:31 UTC 2025","","test_sharding_relations","",""
"Test verifies that the monitor user can perform operations such as 'rs.conf()'.","5742","test_monitor_user","tests.integration","Thu Feb 13 01:41:34 UTC 2025","passed","Thu Feb 13 01:41:40 UTC 2025","","test_charm","",""
"","53182","test_restart_db_process","tests.integration.ha_tests","Thu Feb 13 01:59:45 UTC 2025","passed","Thu Feb 13 02:00:38 UTC 2025","","test_ha","",""
"Verify removed applications no longer have access to the database.","25833","test_removed_relation_no_longer_has_access","tests.integration.relation_tests.new_relations","Thu Feb 13 01:49:59 UTC 2025","passed","Thu Feb 13 01:50:25 UTC 2025","","test_charm_relations","",""
"Verifies charm goes into active status when s3 config and creds options are correct.","76436","test_ready_correct_conf","tests.integration.backup_tests","Thu Feb 13 01:42:32 UTC 2025","passed","Thu Feb 13 01:43:48 UTC 2025","","test_backups","",""
"Build and deploy a sharded cluster.","201068","test_build_and_deploy","tests.integration.sharding_tests","Thu Feb 13 01:36:41 UTC 2025","passed","Thu Feb 13 01:40:02 UTC 2025","","test_mongos","",""
"Tests that sharded cluster can successfully create and list backups.","714179","test_rotate_backup_password","tests.integration.sharding_tests","Thu Feb 13 01:52:20 UTC 2025","passed","Thu Feb 13 02:04:14 UTC 2025","","test_sharding_backups","",""
"Verifies that the application and unit are active.","15107","test_status","tests.integration","Thu Feb 13 01:40:43 UTC 2025","passed","Thu Feb 13 01:40:58 UTC 2025","","test_charm","",""
"Verifies that when the cluster is formed a the user is removed.","69127","test_disconnect_from_cluster_removes_user","tests.integration.sharding_tests","Thu Feb 13 01:41:26 UTC 2025","passed","Thu Feb 13 01:42:35 UTC 2025","","test_mongos","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","827546","test_restore_backup","tests.integration.sharding_tests","Thu Feb 13 02:04:40 UTC 2025","passed","Thu Feb 13 02:18:28 UTC 2025","","test_sharding_backups","",""
"Test verifies that only the leader can set a password, while all units can read it.","15429","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Thu Feb 13 01:41:40 UTC 2025","passed","Thu Feb 13 01:41:55 UTC 2025","","test_charm","",""
"Verify newly added and newly removed members properly replica data.

    Verify newly members have replicated data and newly removed members are gone without data.
    ","210824","test_replication_member_scaling","tests.integration.ha_tests","Thu Feb 13 01:54:10 UTC 2025","passed","Thu Feb 13 01:57:40 UTC 2025","","test_ha","",""
"Test that log are being rotated.","670942","test_log_rotate","tests.integration","Thu Feb 13 01:42:17 UTC 2025","passed","Thu Feb 13 01:53:27 UTC 2025","","test_charm","",""
"Test that the password can't be set to an empty string.","6203","test_empty_password","tests.integration","Thu Feb 13 01:42:03 UTC 2025","passed","Thu Feb 13 01:42:09 UTC 2025","","test_charm","",""
