"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the preflight check can run successfully.","164824","test_preflight_check_failure","tests.integration.upgrade","Mon Nov 25 03:45:21 UTC 2024","passed","Mon Nov 25 03:48:06 UTC 2024","","test_upgrade","",""
"Test that two different application connect to the database with different credentials.","118033","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Mon Nov 25 03:49:17 UTC 2024","passed","Mon Nov 25 03:51:15 UTC 2024","","test_charm_relations","",""
"Build deploy, and integrate, a sharded cluster.","889740","test_build_and_deploy","tests.integration.upgrade","Mon Nov 25 03:31:17 UTC 2024","passed","Mon Nov 25 03:46:06 UTC 2024","","test_sharding_upgrade","",""
"Build and deploy one unit of MongoDB.","423812","test_build_and_deploy","tests.integration.backup_tests","Mon Nov 25 03:26:53 UTC 2024","passed","Mon Nov 25 03:33:57 UTC 2024","","test_backups","",""
"","0","test_kill_db_process","tests.integration.ha_tests","Mon Nov 25 04:02:22 UTC 2024","skipped","Mon Nov 25 04:02:22 UTC 2024","","test_ha","",""
"Test verifies that only the leader can set a password, while all units can read it.","8266","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Mon Nov 25 03:35:55 UTC 2024","passed","Mon Nov 25 03:36:04 UTC 2024","","test_charm","",""
"","879907","test_tls_inconsistent_rels","tests.integration.sharding_tests","Mon Nov 25 04:12:10 UTC 2024","passed","Mon Nov 25 04:26:50 UTC 2024","","test_sharding_tls","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","4410","test_reset_and_get_password_secret_same_as_cli","tests.integration","Mon Nov 25 03:36:04 UTC 2024","passed","Mon Nov 25 03:36:08 UTC 2024","","test_charm","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","153261","test_set_tls_key","tests.integration.tls_tests","Mon Nov 25 03:44:12 UTC 2024","passed","Mon Nov 25 03:46:45 UTC 2024","","test_tls","",""
"","10211","test_create_and_list_backups","tests.integration.backup_tests","Mon Nov 25 03:37:23 UTC 2024","passed","Mon Nov 25 03:37:33 UTC 2024","","test_backups","",""
"Verifies connecting a shard to a mongos router fails.","3300","test_shard_mongos_relation","tests.integration.sharding_tests","Mon Nov 25 03:39:20 UTC 2024","passed","Mon Nov 25 03:39:23 UTC 2024","","test_sharding_relations","",""
"Verifies that the upgrade can run successfully.","367297","test_upgrade","tests.integration.upgrade","Mon Nov 25 03:37:07 UTC 2024","passed","Mon Nov 25 03:43:14 UTC 2024","","test_upgrade","",""
"Check consistency, ie write to primary, read data from secondaries.","6360","test_replication_across_members","tests.integration.ha_tests","Mon Nov 25 03:51:47 UTC 2024","passed","Mon Nov 25 03:51:54 UTC 2024","","test_ha","",""
"Build and deploy a sharded cluster.","151390","test_build_and_deploy","tests.integration.sharding_tests","Mon Nov 25 03:31:53 UTC 2024","passed","Mon Nov 25 03:34:25 UTC 2024","","test_sharding_race_conds","",""
"Verifies charm goes into active status when s3 config and creds options are correct.","76365","test_ready_correct_conf","tests.integration.backup_tests","Mon Nov 25 03:36:07 UTC 2024","passed","Mon Nov 25 03:37:23 UTC 2024","","test_backups","",""
"Build and deploy a sharded cluster.","555755","test_build_and_deploy","tests.integration.sharding_tests","Mon Nov 25 03:32:53 UTC 2024","passed","Mon Nov 25 03:42:09 UTC 2024","","test_sharding_backups","",""
