"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can request additional databases using the same interface.","25875","test_an_application_can_request_multiple_databases","tests.integration.relation_tests.new_relations","Mon Nov 04 02:06:49 UTC 2024","passed","Mon Nov 04 02:07:15 UTC 2024","","test_charm_relations","",""
"","0","test_shards_cannot_run_backup_actions","tests.integration.sharding_tests","Mon Nov 04 01:55:45 UTC 2024","skipped","Mon Nov 04 01:55:45 UTC 2024","","test_sharding_backups","",""
"Build and deploy one unit of MongoDB.","","test_build_and_deploy","tests.integration.metrics_tests","","unknown","","","test_metrics","",""
"Build and deploy one unit of MongoDB.","632851","test_build_and_deploy","tests.integration.backup_tests","Mon Nov 04 01:40:35 UTC 2024","broken","Mon Nov 04 01:51:08 UTC 2024","","test_backups","",""
"Tests that sharded cluster can successfully create and list backups.","0","test_create_and_list_backups_in_cluster","tests.integration.sharding_tests","Mon Nov 04 01:55:45 UTC 2024","skipped","Mon Nov 04 01:55:45 UTC 2024","","test_sharding_backups","",""
"Build deploy, and integrate, a sharded cluster.","1027916","test_build_and_deploy","tests.integration.upgrade","Mon Nov 04 01:41:55 UTC 2024","passed","Mon Nov 04 01:59:03 UTC 2024","","test_sharding_rollback","",""
"Verify that endpoints still function correctly after the monitor user password changes.","","test_endpoints_new_password","tests.integration.metrics_tests","","unknown","","","test_metrics","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","135249","test_pre_upgrade_check_failure","tests.integration.upgrade","Mon Nov 04 02:25:16 UTC 2024","passed","Mon Nov 04 02:27:31 UTC 2024","","test_sharding_upgrade","",""
"Build and deploy a sharded cluster.","684018","test_build_and_deploy","tests.integration.sharding_tests","Mon Nov 04 01:38:40 UTC 2024","passed","Mon Nov 04 01:50:04 UTC 2024","","test_sharding_relations","",""
"","0","test_create_and_list_backups","tests.integration.backup_tests","Mon Nov 04 01:51:08 UTC 2024","skipped","Mon Nov 04 01:51:08 UTC 2024","","test_backups","",""
"Tests that action get-primary outputs the correct unit with the primary replica.","9205","test_get_primary_action","tests.integration","Mon Nov 04 01:46:41 UTC 2024","passed","Mon Nov 04 01:46:50 UTC 2024","","test_charm","",""
