"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the password can't be set to an empty string.","4185","test_empty_password","tests.integration","Mon Dec 09 03:29:01 UTC 2024","passed","Mon Dec 09 03:29:05 UTC 2024","","test_charm","",""
"Verify newly added and newly removed members properly replica data.

    Verify newly members have replicated data and newly removed members are gone without data.
    ","163922","test_replication_member_scaling","tests.integration.ha_tests","Mon Dec 09 03:24:26 UTC 2024","passed","Mon Dec 09 03:27:10 UTC 2024","","test_ha","",""
"Verifies connecting a shard to a mongos router fails.","3803","test_shard_mongos_relation","tests.integration.sharding_tests","Mon Dec 09 03:44:57 UTC 2024","passed","Mon Dec 09 03:45:01 UTC 2024","","test_sharding_relations","",""
"","448115","test_restore_new_cluster[AWS]","tests.integration.backup_tests","Mon Dec 09 03:39:30 UTC 2024","passed","Mon Dec 09 03:46:58 UTC 2024","","test_backups","",""
"Build and deploy one unit of MongoDB.","297937","test_build_and_deploy","tests.integration.ha_tests","Mon Dec 09 03:09:33 UTC 2024","passed","Mon Dec 09 03:14:31 UTC 2024","","test_ha","",""
"","78409","test_restart_db_process","tests.integration.ha_tests","Mon Dec 09 03:28:48 UTC 2024","passed","Mon Dec 09 03:30:06 UTC 2024","","test_ha","",""
"Test shard removal.

    This test also verifies that:
    - Databases that are using this shard as a primary are moved.
    - The balancer is turned back on if turned off.
    - Config server supp    orts removing multiple shards.
    ","","test_shard_removal","tests.integration.sharding_tests","","unknown","","","test_sharding","",""
"Tests that each cluster component can rotate TLS certs.","492405","test_rotate_tls","tests.integration.sharding_tests","Mon Dec 09 03:40:06 UTC 2024","passed","Mon Dec 09 03:48:19 UTC 2024","","test_sharding_tls","",""
"Test basic functionality of database relation interface.","80108","test_database_relation_with_charm_libraries","tests.integration.relation_tests.new_relations","Mon Dec 09 03:13:12 UTC 2024","passed","Mon Dec 09 03:14:32 UTC 2024","","test_charm_relations","",""
"Verifies integrating a shard to s3-integrator fails.","7870","test_shard_s3_relation","tests.integration.sharding_tests","Mon Dec 09 03:45:01 UTC 2024","passed","Mon Dec 09 03:45:09 UTC 2024","","test_sharding_relations","",""
"Tests that mongodb is running as a replica set for the application unit.","26","test_unit_is_running_as_replica_set[1]","tests.integration","Mon Dec 09 03:28:17 UTC 2024","passed","Mon Dec 09 03:28:17 UTC 2024","","test_charm","",""
"Tests safe removal of a shard that is not primary.","","test_removal_of_non_primary_shard","tests.integration.sharding_tests","","unknown","","","test_sharding","",""
"Build deploy, and integrate, a sharded cluster.","840217","test_build_and_deploy","tests.integration.upgrade","Mon Dec 09 03:26:00 UTC 2024","passed","Mon Dec 09 03:40:00 UTC 2024","","test_sharding_upgrade","",""
"Build and deploy one unit of MongoDB.","304812","test_build_and_deploy","tests.integration","Mon Dec 09 03:22:55 UTC 2024","passed","Mon Dec 09 03:28:00 UTC 2024","","test_charm","",""
"Verifies that the application and unit are active.","15529","test_status","tests.integration","Mon Dec 09 03:28:01 UTC 2024","passed","Mon Dec 09 03:28:16 UTC 2024","","test_charm","",""
"Test that an application can request additional databases using the same interface.","26406","test_an_application_can_request_multiple_databases","tests.integration.relation_tests.new_relations","Mon Dec 09 03:21:25 UTC 2024","passed","Mon Dec 09 03:21:51 UTC 2024","","test_charm_relations","",""
"Tests juju add-unit functionality.

    Verifies that when a new unit is added to the MongoDB application that it is added to the
    MongoDB replica set configuration.
    ","172969","test_add_units","tests.integration.ha_tests","Mon Dec 09 03:17:33 UTC 2024","passed","Mon Dec 09 03:20:26 UTC 2024","","test_ha","",""
