"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests writing data to mongos gets propagated to shards.","37122","test_sharding","tests.integration.sharding_tests","Tue Mar 04 01:45:46 UTC 2025","passed","Tue Mar 04 01:46:24 UTC 2025","","test_sharding","",""
"Build and deploy one unit of MongoDB.","217560","test_build_and_deploy","tests.integration.backup_tests","Tue Mar 04 01:29:14 UTC 2025","passed","Tue Mar 04 01:32:51 UTC 2025","","test_backups","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","227158","test_storage_re_use","tests.integration.ha_tests","Tue Mar 04 01:32:44 UTC 2025","passed","Tue Mar 04 01:36:31 UTC 2025","","test_ha","",""
"Test that in general, there is no change when password validation fails.","6475","test_no_password_change_on_invalid_password","tests.integration","Tue Mar 04 01:34:41 UTC 2025","passed","Tue Mar 04 01:34:48 UTC 2025","","test_charm","",""
"Verify that endpoints still function correctly after the monitor user password changes.","24735","test_endpoints_new_password","tests.integration.metrics_tests","Tue Mar 04 01:35:56 UTC 2025","passed","Tue Mar 04 01:36:21 UTC 2025","","test_metrics","",""
"Build and deploy one unit of MongoDB.","296961","test_build_and_deploy","tests.integration.metrics_tests","Tue Mar 04 01:30:56 UTC 2025","passed","Tue Mar 04 01:35:53 UTC 2025","","test_metrics","",""
"","54300","test_kill_db_process","tests.integration.ha_tests","Tue Mar 04 01:50:06 UTC 2025","passed","Tue Mar 04 01:51:01 UTC 2025","","test_ha","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","1763347","test_upgrade","tests.integration.upgrade","Tue Mar 04 01:44:00 UTC 2025","broken","Tue Mar 04 02:13:24 UTC 2025","","test_sharding_upgrade","",""
"Verify each unit has TLS enabled after relating to the TLS application.","317757","test_enable_tls","tests.integration.tls_tests","Tue Mar 04 01:41:42 UTC 2025","passed","Tue Mar 04 01:47:00 UTC 2025","","test_tls","",""
"","13233","test_create_and_list_backups","tests.integration.backup_tests","Tue Mar 04 01:41:23 UTC 2025","passed","Tue Mar 04 01:41:36 UTC 2025","","test_backups","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","7528","test_reset_and_get_password_secret_same_as_cli","tests.integration","Tue Mar 04 01:34:28 UTC 2025","passed","Tue Mar 04 01:34:35 UTC 2025","","test_charm","",""
"Verifies that using a replica as a shard fails.","5933","test_replication_config_server_relation","tests.integration.sharding_tests","Tue Mar 04 01:38:20 UTC 2025","passed","Tue Mar 04 01:38:26 UTC 2025","","test_sharding_relations","",""
"Tests safe removal of a shard that is not primary.","1059400","test_removal_of_non_primary_shard","tests.integration.sharding_tests","Tue Mar 04 02:07:19 UTC 2025","passed","Tue Mar 04 02:24:59 UTC 2025","","test_sharding","",""
"Build and deploy a sharded cluster.","206576","test_build_and_deploy","tests.integration.sharding_tests","Tue Mar 04 01:29:13 UTC 2025","passed","Tue Mar 04 01:32:40 UTC 2025","","test_mongos","",""
"Verify newly added and newly removed members properly replica data.

    Verify newly members have replicated data and newly removed members are gone without data.
    ","221045","test_replication_member_scaling","tests.integration.ha_tests","Tue Mar 04 01:46:19 UTC 2025","passed","Tue Mar 04 01:50:00 UTC 2025","","test_ha","",""
"Sanity check that endpoints are running.","3814","test_endpoints","tests.integration.metrics_tests","Tue Mar 04 01:35:53 UTC 2025","passed","Tue Mar 04 01:35:56 UTC 2025","","test_metrics","",""
"Test that two different application connect to the database with different credentials.","106773","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.relation_tests.new_relations","Tue Mar 04 01:38:56 UTC 2025","passed","Tue Mar 04 01:40:42 UTC 2025","","test_charm_relations","",""
"Verify that endpoint still function correctly after a network cut.","498077","test_endpoints_network_cut","tests.integration.metrics_tests","Tue Mar 04 01:36:21 UTC 2025","passed","Tue Mar 04 01:44:39 UTC 2025","","test_metrics","",""
