"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","test_restore_new_cluster[GCP]","tests.integration.backup_tests","","unknown","","","test_backups","",""
"Verify that sharding components cannot use the DB relation.","29165","test_cannot_use_db_relation","tests.integration.sharding_tests","Fri Jan 10 02:41:55 UTC 2025","passed","Fri Jan 10 02:42:24 UTC 2025","","test_sharding_relations","",""
"Build and deploy a sharded cluster.","356809","test_build_and_deploy","tests.integration.sharding_tests","Fri Jan 10 02:33:16 UTC 2025","passed","Fri Jan 10 02:39:12 UTC 2025","","test_sharding_backups","",""
"","46661","test_kill_db_process","tests.integration.ha_tests","Fri Jan 10 02:51:14 UTC 2025","passed","Fri Jan 10 02:52:01 UTC 2025","","test_ha","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","1261448","test_migrate_restore_backup","tests.integration.sharding_tests","Fri Jan 10 02:57:44 UTC 2025","passed","Fri Jan 10 03:18:45 UTC 2025","","test_sharding_backups","",""
"","","test_create_and_list_backups","tests.integration.backup_tests","","unknown","","","test_backups","",""
"Verify rotating tls private keys restarts mongod with new certificates.

    This test rotates tls private keys to user specified keys.
    ","155418","test_set_tls_key","tests.integration.tls_tests","Fri Jan 10 02:43:06 UTC 2025","passed","Fri Jan 10 02:45:42 UTC 2025","","test_tls","",""
"Simple backup tests that verifies that writes are correctly restored.","","test_restore","tests.integration.backup_tests","","unknown","","","test_backups","",""
"Verify that the config-server can safely rollback without losing writes.","633051","test_rollback_on_config_server","tests.integration.upgrade","Fri Jan 10 02:59:59 UTC 2025","passed","Fri Jan 10 03:10:32 UTC 2025","","test_sharding_rollback","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","204475","test_storage_re_use","tests.integration.ha_tests","Fri Jan 10 02:37:26 UTC 2025","passed","Fri Jan 10 02:40:50 UTC 2025","","test_ha","",""
"Tests that the cluster can safely set the operator password.","33973","test_set_operator_password","tests.integration.sharding_tests","Fri Jan 10 02:50:48 UTC 2025","passed","Fri Jan 10 02:51:22 UTC 2025","","test_sharding","",""
"Build deploy, and integrate, a sharded cluster.","1303209","test_build_and_deploy","tests.integration.upgrade","Fri Jan 10 02:38:07 UTC 2025","passed","Fri Jan 10 02:59:50 UTC 2025","","test_sharding_rollback","",""
"Scale up and down the application and verify the replica set is healthy.","0","test_scale_up_down_removing_leader","tests.integration.ha_tests","Fri Jan 10 03:46:08 UTC 2025","skipped","Fri Jan 10 03:46:08 UTC 2025","","test_ha","",""
"Build and deploy one unit of MongoDB.","426804","test_build_and_deploy","tests.integration.metrics_tests","Fri Jan 10 02:31:37 UTC 2025","passed","Fri Jan 10 02:38:44 UTC 2025","","test_metrics","",""
"Verifies that the application and unit are active.","","test_status","tests.integration","","unknown","","","test_charm","",""
"Tests that mongodb is running as a replica set for the application unit.","","test_unit_is_running_as_replica_set[0]","tests.integration","","unknown","","","test_charm","",""
"Test that in general, there is no change when password validation fails.","","test_no_password_change_on_invalid_password","tests.integration","","unknown","","","test_charm","",""
"","","test_restore_new_cluster[AWS]","tests.integration.backup_tests","","unknown","","","test_backups","",""
"Test that an application can request additional databases using the same interface.","29050","test_an_application_can_request_multiple_databases","tests.integration.relation_tests.new_relations","Fri Jan 10 02:47:45 UTC 2025","passed","Fri Jan 10 02:48:14 UTC 2025","","test_charm_relations","",""
"Verifies integrating a shard to s3-integrator fails.","7147","test_shard_s3_relation","tests.integration.sharding_tests","Fri Jan 10 02:43:21 UTC 2025","passed","Fri Jan 10 02:43:29 UTC 2025","","test_sharding_relations","",""
"Build and deploy a sharded cluster.","402218","test_build_and_deploy","tests.integration.sharding_tests","Fri Jan 10 02:34:52 UTC 2025","passed","Fri Jan 10 02:41:35 UTC 2025","","test_sharding_relations","",""
